Date;Time;ArduinoMillis;EDA;IBI;RawPulse;FL;FR;RL;RR
2017-04-17;12:06:50:3401;964;4;0;515;83;626;518;227;
2017-04-17;12:06:50:3401;974;4;0;515;83;626;518;227;
2017-04-17;12:06:52:5956;984;4;0;515;83;626;518;227;
2017-04-17;12:06:52:5956;994;3;0;515;82;626;519;227;
2017-04-17;12:06:52:5956;1004;4;0;514;82;626;519;227;
2017-04-17;12:06:52:5957;1014;4;0;515;82;626;519;227;
2017-04-17;12:06:52:5957;1024;4;0;513;82;626;519;229;
2017-04-17;12:06:52:5957;1034;4;0;510;82;626;519;229;
2017-04-17;12:06:52:5957;1044;4;0;507;81;626;519;229;
2017-04-17;12:06:52:5957;1054;4;0;506;81;626;519;229;
2017-04-17;12:06:52:5958;1064;4;0;506;81;627;519;229;
2017-04-17;12:06:52:5958;1074;4;0;506;80;627;519;229;
2017-04-17;12:06:52:5958;1084;4;0;507;81;627;519;229;
2017-04-17;12:06:52:5958;1094;4;0;509;81;627;519;229;
2017-04-17;12:06:52:5958;1104;4;0;511;81;627;519;229;
2017-04-17;12:06:52:5958;1114;4;0;511;80;627;519;229;
2017-04-17;12:06:52:5958;1124;4;0;514;81;627;518;229;
2017-04-17;12:06:52:5958;1134;4;0;518;81;627;518;229;
2017-04-17;12:06:52:5959;1144;4;0;526;82;627;519;229;
2017-04-17;12:06:52:5959;1154;4;0;533;83;627;519;229;
2017-04-17;12:06:52:5959;1164;5;0;541;83;627;518;229;
2017-04-17;12:06:52:5959;1174;5;0;548;82;627;519;229;
2017-04-17;12:06:52:5959;1184;5;0;553;82;627;519;229;
2017-04-17;12:06:52:5959;1195;5;0;559;82;627;519;229;
2017-04-17;12:06:52:5959;1205;6;0;563;82;627;519;228;
2017-04-17;12:06:52:5959;1215;5;0;566;82;627;519;227;
2017-04-17;12:06:52:5960;1225;6;0;570;82;627;519;227;
2017-04-17;12:06:52:5960;1235;5;0;572;81;627;519;227;
2017-04-17;12:06:52:5960;1245;6;0;572;80;627;519;227;
2017-04-17;12:06:52:5960;1255;5;0;571;81;627;519;227;
2017-04-17;12:06:52:5960;1265;6;0;567;80;627;519;227;
2017-04-17;12:06:52:5960;1275;6;0;563;80;627;519;227;
2017-04-17;12:06:52:5960;1285;6;0;557;80;627;519;227;
2017-04-17;12:06:52:5960;1295;5;0;550;79;627;519;227;
2017-04-17;12:06:52:7394;1305;6;0;544;79;627;519;227;
2017-04-17;12:06:52:7394;1315;5;0;540;80;627;519;227;
2017-04-17;12:06:52:7395;1325;5;0;536;80;627;519;227;
2017-04-17;12:06:52:7395;1335;5;0;531;81;627;519;227;
2017-04-17;12:06:52:7395;1345;5;0;524;82;627;519;227;
2017-04-17;12:06:52:7395;1355;5;0;515;82;627;519;227;
2017-04-17;12:06:52:7395;1366;5;0;505;79;627;519;227;
2017-04-17;12:06:52:7396;1376;4;0;496;80;627;519;227;
2017-04-17;12:06:52:7396;1386;5;0;488;79;627;519;227;
2017-04-17;12:06:52:7396;1396;4;0;482;80;627;519;227;
2017-04-17;12:06:52:7396;1406;4;0;477;81;627;519;227;
2017-04-17;12:06:52:7396;1416;4;0;474;80;627;519;227;
2017-04-17;12:06:52:7397;1426;4;0;471;79;627;519;227;
2017-04-17;12:06:52:7397;1436;4;0;469;80;627;519;227;
