Date;Time;ArduinoMillis;EDA;IBI;RawPulse;FL;FR;RL;RR
2017-04-17;11:23:20:9413;10;0;0;509;918;941;932;938;
2017-04-17;11:23:20:9570;20;3;0;509;918;941;931;939;
2017-04-17;11:23:20:9737;30;3;0;510;918;941;931;939;
2017-04-17;11:23:20:9738;40;3;0;512;918;941;931;939;
2017-04-17;11:23:21:0065;50;3;0;515;918;941;932;939;
2017-04-17;11:23:21:0065;60;3;0;517;918;941;931;938;
2017-04-17;11:23:21:0065;70;4;0;517;918;941;932;939;
2017-04-17;11:23:21:0240;80;4;0;518;918;941;931;938;
2017-04-17;11:23:21:0241;90;4;0;518;918;941;931;939;
2017-04-17;11:23:21:0410;100;5;0;517;918;941;931;939;
2017-04-17;11:23:21:0701;110;5;0;515;918;941;932;939;
2017-04-17;11:23:21:0701;120;6;0;513;918;941;931;939;
2017-04-17;11:23:21:0701;130;6;0;512;918;941;932;939;
2017-04-17;11:23:21:0875;140;7;0;511;918;941;931;939;
2017-04-17;11:23:21:0875;150;7;0;511;918;941;931;939;
2017-04-17;11:23:21:1084;160;7;0;512;918;941;931;938;
2017-04-17;11:23:21:1084;171;6;0;513;918;941;931;939;
2017-04-17;11:23:21:1258;181;6;0;515;918;941;931;938;
2017-04-17;11:23:21:1258;191;6;0;516;919;941;932;939;
2017-04-17;11:23:21:1541;201;5;0;515;918;941;931;938;
2017-04-17;11:23:21:1541;211;5;0;516;919;941;932;939;
2017-04-17;11:23:21:1542;221;4;0;516;918;941;931;938;
2017-04-17;11:23:21:1715;231;5;0;514;918;941;932;939;
2017-04-17;11:23:21:1886;241;5;0;513;918;941;931;938;
2017-04-17;11:23:21:1887;251;6;0;512;918;941;931;939;
2017-04-17;11:23:21:2079;261;5;0;511;918;941;931;938;
2017-04-17;11:23:21:2080;271;6;0;510;919;941;932;939;
2017-04-17;11:23:21:2381;281;6;0;510;918;940;931;938;
2017-04-17;11:23:21:2381;291;6;0;512;918;941;931;938;
2017-04-17;11:23:21:2381;301;5;0;513;918;941;931;938;
2017-04-17;11:23:21:2553;311;6;0;513;919;941;931;938;
2017-04-17;11:23:21:2553;321;5;0;514;918;941;931;939;
2017-04-17;11:23:21:2723;331;7;0;514;918;941;932;939;
2017-04-17;11:23:21:2723;342;5;0;512;918;941;931;938;
2017-04-17;11:23:21:2887;352;5;0;510;918;941;931;939;
2017-04-17;11:23:21:3053;362;4;0;510;918;941;932;939;
2017-04-17;11:23:21:3054;372;6;0;510;918;941;932;938;
2017-04-17;11:23:21:3224;382;5;0;511;918;941;932;939;
2017-04-17;11:23:21:3224;392;6;0;512;918;941;931;938;
2017-04-17;11:23:21:3530;402;5;0;513;918;941;931;938;
2017-04-17;11:23:21:3530;412;5;0;513;918;941;932;939;
2017-04-17;11:23:21:3712;422;4;0;515;918;940;931;938;
2017-04-17;11:23:21:3712;432;5;0;516;919;941;932;938;
2017-04-17;11:23:21:3883;442;5;0;517;918;941;931;939;
2017-04-17;11:23:21:3883;452;6;0;516;918;941;932;939;
2017-04-17;11:23:21:4073;462;5;0;516;918;941;932;939;
2017-04-17;11:23:21:4073;472;6;0;515;918;941;931;938;
2017-04-17;11:23:21:4409;482;6;0;515;918;941;932;939;
2017-04-17;11:23:21:4409;492;6;0;515;918;941;931;939;
2017-04-17;11:23:21:4409;502;5;0;514;918;941;932;939;
2017-04-17;11:23:21:4581;512;7;0;515;918;940;931;939;
2017-04-17;11:23:21:4581;522;6;0;515;918;941;931;938;
2017-04-17;11:23:21:4863;532;8;0;514;918;941;932;939;
2017-04-17;11:23:21:4863;542;6;0;514;918;940;931;938;
2017-04-17;11:23:21:4863;552;7;0;514;918;941;931;939;
2017-04-17;11:23:21:5074;562;6;0;514;918;941;931;938;
2017-04-17;11:23:21:5074;572;6;0;516;919;941;932;939;
2017-04-17;11:23:21:5244;583;5;0;517;918;941;931;939;
2017-04-17;11:23:21:5414;593;6;0;518;918;941;932;939;
2017-04-17;11:23:21:5414;603;6;0;518;918;941;931;938;
2017-04-17;11:23:21:5737;613;6;0;519;918;941;932;938;
2017-04-17;11:23:21:5738;623;5;0;518;918;940;931;938;
2017-04-17;11:23:21:5738;633;6;0;517;919;941;932;939;
2017-04-17;11:23:21:5947;643;4;0;517;918;940;931;938;
2017-04-17;11:23:21:5947;653;5;0;517;919;941;932;938;
2017-04-17;11:23:21:6184;663;5;0;517;919;941;931;938;
2017-04-17;11:23:21:6184;673;6;0;517;919;941;931;938;
2017-04-17;11:23:21:6184;683;5;0;517;919;941;932;938;
2017-04-17;11:23:21:6396;693;6;0;516;919;941;932;938;
2017-04-17;11:23:21:6397;703;5;0;516;918;940;931;938;
2017-04-17;11:23:21:6587;713;7;0;518;918;941;932;939;
2017-04-17;11:23:21:6587;723;5;0;516;918;941;932;939;
2017-04-17;11:23:21:6863;733;6;0;515;918;941;932;939;
2017-04-17;11:23:21:6865;743;6;0;514;919;941;931;938;
2017-04-17;11:23:21:6867;753;6;0;514;918;941;932;939;
2017-04-17;11:23:21:7070;763;6;0;514;918;941;932;938;
2017-04-17;11:23:21:7070;773;6;0;515;918;941;932;939;
2017-04-17;11:23:21:7242;783;6;0;516;918;940;931;938;
2017-04-17;11:23:21:7242;793;5;0;516;918;941;931;939;
2017-04-17;11:23:21:7411;803;4;0;516;918;941;932;938;
2017-04-17;11:23:21:7708;813;5;0;517;918;941;932;939;
2017-04-17;11:23:21:7709;823;5;0;516;918;941;932;938;
2017-04-17;11:23:21:7709;833;6;0;515;918;941;932;939;
2017-04-17;11:23:21:7915;843;5;0;516;918;941;932;939;
2017-04-17;11:23:21:7916;854;6;0;519;918;941;932;938;
2017-04-17;11:23:21:8088;864;5;0;518;918;941;932;939;
2017-04-17;11:23:21:8089;874;6;0;518;918;941;932;939;
2017-04-17;11:23:21:8252;884;5;0;516;918;941;932;939;
2017-04-17;11:23:21:8252;894;5;0;514;918;941;932;939;
2017-04-17;11:23:21:8552;904;4;0;511;918;941;932;938;
2017-04-17;11:23:21:8552;914;4;0;509;918;941;932;939;
2017-04-17;11:23:21:8552;924;4;0;509;918;941;932;939;
2017-04-17;11:23:21:8725;934;5;0;508;918;941;932;939;
2017-04-17;11:23:21:8895;944;5;0;507;918;941;932;938;
2017-04-17;11:23:21:8895;954;6;0;509;918;941;932;938;
2017-04-17;11:23:21:9095;964;5;0;508;918;941;932;939;
2017-04-17;11:23:21:9096;974;6;0;509;918;941;932;938;
2017-04-17;11:23:21:9397;984;5;0;510;918;941;932;939;
2017-04-17;11:23:21:9397;994;6;0;511;918;941;932;939;
2017-04-17;11:23:21:9398;1004;6;0;512;918;941;932;939;
2017-04-17;11:23:21:9574;1014;6;0;514;918;941;933;939;
2017-04-17;11:23:21:9575;1024;5;0;515;918;941;932;939;
2017-04-17;11:23:21:9787;1034;5;0;515;918;941;932;939;
