Date;Time;ArduinoMillis;EDA;IBI;RawPulse;FSR1;FRS2;FSR3;FSR4
2017-04-13;10:05:54:0555;10;10;0;506;65;0;0;0;
2017-04-13;10:05:54:0713;20;0;0;509;65;0;0;0;
2017-04-13;10:05:54:0882;30;0;0;511;68;0;0;0;
2017-04-13;10:05:54:0882;40;0;0;512;65;0;0;0;
2017-04-13;10:05:54:1048;50;13;0;510;69;0;0;0;
2017-04-13;10:05:54:1211;60;0;0;510;62;0;0;0;
2017-04-13;10:05:54:1211;70;0;0;510;64;0;3;1;
2017-04-13;10:05:54:1377;80;0;0;511;67;0;0;0;
2017-04-13;10:05:54:1377;90;17;0;509;70;1;0;0;
2017-04-13;10:05:54:1545;100;13;0;508;67;0;0;0;
2017-04-13;10:05:54:1713;110;7;0;508;69;0;0;0;
2017-04-13;10:05:54:1713;120;21;0;509;64;0;0;0;
2017-04-13;10:05:54:1873;130;29;0;509;65;1;0;0;
2017-04-13;10:05:54:1873;140;8;0;509;64;0;0;1;
2017-04-13;10:05:54:2038;150;4;0;509;66;1;3;0;
2017-04-13;10:05:54:2038;160;0;0;508;62;0;0;0;
2017-04-13;10:05:54:2209;171;5;0;507;70;0;0;0;
2017-04-13;10:05:54:2369;181;9;0;507;66;0;0;0;
2017-04-13;10:05:54:2374;191;19;0;507;68;0;0;0;
2017-04-13;10:05:54:2539;201;20;0;506;63;0;2;0;
2017-04-13;10:05:54:2701;211;5;0;505;67;0;3;0;
2017-04-13;10:05:54:2701;221;16;0;506;68;0;0;1;
2017-04-13;10:05:54:2868;231;8;0;507;69;0;1;1;
2017-04-13;10:05:54:2868;241;0;0;507;66;0;0;0;
2017-04-13;10:05:54:3033;251;2;0;507;66;2;0;0;
2017-04-13;10:05:54:3200;261;24;0;508;70;0;0;0;
2017-04-13;10:05:54:3200;271;9;0;508;70;0;0;1;
2017-04-13;10:05:54:3369;281;1;0;510;64;1;0;0;
2017-04-13;10:05:54:3369;291;17;0;510;66;0;0;0;
2017-04-13;10:05:54:3529;301;5;0;510;68;0;0;0;
2017-04-13;10:05:54:3695;311;16;0;508;69;0;0;0;
2017-04-13;10:05:54:3695;321;8;0;507;63;2;0;0;
2017-04-13;10:05:54:3863;331;0;0;509;67;0;0;0;
2017-04-13;10:05:54:3863;342;0;0;510;66;0;0;0;
2017-04-13;10:05:54:4030;352;13;0;510;65;0;4;0;
2017-04-13;10:05:54:4198;362;11;0;509;66;1;1;0;
2017-04-13;10:05:54:4198;372;17;0;509;64;0;0;0;
2017-04-13;10:05:54:4357;382;0;0;509;67;0;2;0;
2017-04-13;10:05:54:4523;392;21;0;508;70;0;2;0;
2017-04-13;10:05:54:4528;402;23;0;507;65;0;0;0;
2017-04-13;10:05:54:4693;412;3;0;507;66;0;4;0;
2017-04-13;10:05:54:4693;422;1;0;507;68;0;0;0;
2017-04-13;10:05:54:4859;432;5;0;507;67;2;2;0;
2017-04-13;10:05:54:5023;442;7;0;507;66;0;0;1;
2017-04-13;10:05:54:5023;452;0;0;507;64;2;0;0;
2017-04-13;10:05:54:5189;462;0;0;506;64;0;0;0;
2017-04-13;10:05:54:5189;472;0;0;506;66;0;2;0;
2017-04-13;10:05:54:5354;482;0;0;507;63;0;0;0;
2017-04-13;10:05:54:5354;492;16;0;507;64;0;0;0;
2017-04-13;10:05:54:5520;502;0;0;507;68;0;0;1;
2017-04-13;10:05:54:5689;512;6;0;508;72;0;0;0;
2017-04-13;10:05:54:5689;522;0;0;507;69;0;4;0;
2017-04-13;10:05:54:5854;532;17;0;508;69;0;0;0;
2017-04-13;10:05:54:5854;542;0;0;509;69;0;0;0;
2017-04-13;10:05:54:6014;552;20;0;510;64;0;0;0;
2017-04-13;10:05:54:6184;562;0;0;511;69;0;0;0;
2017-04-13;10:05:54:6184;572;18;0;511;65;0;3;1;
2017-04-13;10:05:54:6349;582;0;0;510;68;0;0;1;
2017-04-13;10:05:54:6514;592;0;0;510;63;2;0;0;
2017-04-13;10:05:54:6514;602;4;0;509;68;0;0;0;
2017-04-13;10:05:54:6680;612;5;0;510;68;0;0;2;
2017-04-13;10:05:54:6680;622;3;0;511;67;0;0;0;
2017-04-13;10:05:54:6847;632;4;0;511;69;0;0;1;
2017-04-13;10:05:54:7009;642;16;0;511;66;0;2;0;
2017-04-13;10:05:54:7009;652;0;0;511;68;0;0;0;
2017-04-13;10:05:54:7175;662;0;0;512;64;0;0;0;
2017-04-13;10:05:54:7175;672;14;0;510;68;0;0;0;
2017-04-13;10:05:54:7343;683;0;0;509;69;0;0;1;
2017-04-13;10:05:54:7510;693;13;0;508;65;1;0;2;
2017-04-13;10:05:54:7510;703;15;0;508;63;0;0;0;
2017-04-13;10:05:54:7675;713;0;0;506;71;0;0;0;
2017-04-13;10:05:54:7836;723;0;0;506;63;0;0;2;
2017-04-13;10:05:54:7836;733;4;0;505;63;0;0;1;
2017-04-13;10:05:54:8008;743;5;0;505;63;0;0;0;
2017-04-13;10:05:54:8008;753;0;0;506;65;0;0;0;
2017-04-13;10:05:54:8169;763;14;0;509;69;0;0;0;
2017-04-13;10:05:54:8337;773;0;0;509;63;0;0;0;
2017-04-13;10:05:54:8337;783;0;0;509;67;0;0;0;
2017-04-13;10:05:54:8506;793;12;0;510;66;0;0;0;
2017-04-13;10:05:54:8506;803;0;0;510;70;0;0;0;
2017-04-13;10:05:54:8667;813;17;0;508;65;3;2;0;
2017-04-13;10:05:54:8832;823;0;0;506;67;0;0;0;
2017-04-13;10:05:54:8832;833;31;0;507;70;0;0;0;
2017-04-13;10:05:54:8999;843;19;0;508;71;0;0;0;
2017-04-13;10:05:54:8999;854;4;0;509;64;0;0;0;
2017-04-13;10:05:54:9256;864;5;0;509;69;0;2;0;
2017-04-13;10:05:54:9256;874;12;0;509;68;0;3;0;
2017-04-13;10:05:54:9331;884;24;0;510;64;0;0;0;
2017-04-13;10:05:54:9497;894;16;0;511;68;0;0;0;
2017-04-13;10:05:54:9497;904;16;0;510;64;0;0;0;
2017-04-13;10:05:54:9658;914;2;0;509;65;0;0;0;
2017-04-13;10:05:54:9826;924;0;0;509;68;0;0;0;
2017-04-13;10:05:54:9826;934;0;0;508;67;0;0;0;
2017-04-13;10:05:54:9991;944;0;0;508;68;2;0;0;
2017-04-13;10:05:54:9991;954;18;0;507;64;0;0;0;
2017-04-13;10:05:55:0157;964;7;0;507;67;0;2;0;
2017-04-13;10:05:55:0321;974;13;0;508;70;0;0;2;
2017-04-13;10:05:55:0321;984;0;0;509;64;0;3;0;
2017-04-13;10:05:55:0491;994;11;0;508;64;0;0;0;
2017-04-13;10:05:55:0491;1004;0;0;505;67;0;4;2;
2017-04-13;10:05:55:0661;1014;17;0;504;66;1;0;0;
2017-04-13;10:05:55:0820;1024;0;0;501;66;0;0;2;
2017-04-13;10:05:55:0825;1034;0;0;501;68;0;0;0;
2017-04-13;10:05:55:0984;1044;0;0;501;68;2;0;0;
2017-04-13;10:05:55:1151;1054;14;0;502;66;0;0;0;
2017-04-13;10:05:55:1151;1064;0;0;500;63;0;0;0;
2017-04-13;10:05:55:1316;1074;0;0;501;66;0;0;1;
2017-04-13;10:05:55:1316;1084;0;0;503;67;0;2;1;
2017-04-13;10:05:55:1480;1094;0;0;506;63;0;0;0;
2017-04-13;10:05:55:1649;1104;0;0;508;62;0;0;1;
2017-04-13;10:05:55:1649;1114;0;0;508;65;0;0;2;
2017-04-13;10:05:55:1819;1124;0;0;508;68;0;0;0;
2017-04-13;10:05:55:1819;1134;0;0;507;64;0;0;0;
2017-04-13;10:05:55:1982;1144;11;0;507;66;0;0;0;
2017-04-13;10:05:55:2148;1154;0;0;508;68;0;0;0;
2017-04-13;10:05:55:2148;1164;11;0;510;67;0;0;0;
2017-04-13;10:05:55:2310;1174;17;0;510;70;1;0;2;
2017-04-13;10:05:55:2310;1184;0;0;509;63;2;0;0;
2017-04-13;10:05:55:2480;1195;0;0;507;65;0;1;0;
2017-04-13;10:05:55:2480;1205;11;0;506;67;0;0;1;
2017-04-13;10:05:55:2650;1215;0;0;507;64;0;0;1;
2017-04-13;10:05:55:2810;1225;0;0;506;71;0;0;0;
2017-04-13;10:05:55:2810;1235;0;0;506;65;0;0;0;
2017-04-13;10:05:55:2975;1245;6;0;505;68;0;0;0;
2017-04-13;10:05:55:3141;1255;8;0;506;65;0;1;0;
2017-04-13;10:05:55:3141;1265;22;0;509;64;0;0;0;
2017-04-13;10:05:55:3303;1275;0;0;509;66;0;0;0;
2017-04-13;10:05:55:3308;1285;3;0;511;66;0;0;0;
2017-04-13;10:05:55:3470;1295;0;0;512;64;0;0;0;
2017-04-13;10:05:55:3638;1305;0;0;511;67;0;1;0;
2017-04-13;10:05:55:3638;1315;15;0;508;65;0;0;0;
