Date;Time;ArduinoMillis;EDA;IBI;RawPulse;FL;FR;RL;RR
2017-04-17;12:07:00:6803;11286;9;0;514;76;670;568;236;
2017-04-17;12:07:00:6803;11296;8;0;515;75;670;568;236;
2017-04-17;12:07:00:6804;11307;9;0;515;74;669;568;236;
2017-04-17;12:07:00:6804;11317;8;0;513;75;669;568;236;
2017-04-17;12:07:01:7064;12324;8;0;512;75;669;568;236;
2017-04-17;12:07:01:7065;12334;3;0;517;67;669;565;235;
2017-04-17;12:07:01:7351;12374;7;0;517;61;669;565;234;
2017-04-17;12:07:02:1367;12775;9;0;517;64;668;563;235;
2017-04-17;12:07:02:3703;12956;9;0;541;610;0;526;65;667;562;236;
