Date;Time;ArduinoMillis;EDA;IBI;RawPulse;FSR1;FRS2;FSR3;FSR4
2017-04-13;11:37:18:3018;10;119;0;512;661;0;720;779;
2017-04-13;11:37:18:3173;20;215;0;515;662;0;720;777;
2017-04-13;11:37:18:3173;30;280;0;520;663;0;720;776;
2017-04-13;11:37:18:3339;40;331;0;520;663;0;721;775;
2017-04-13;11:37:18:3339;50;362;0;521;664;0;721;775;
2017-04-13;11:37:18:3505;60;390;0;521;664;0;721;775;
2017-04-13;11:37:18:3672;70;407;0;522;664;0;721;775;
2017-04-13;11:37:18:3672;80;422;0;521;663;0;721;775;
2017-04-13;11:37:18:3837;90;431;0;523;664;0;721;775;
2017-04-13;11:37:18:3837;100;439;0;515;663;0;721;776;
2017-04-13;11:37:18:4004;110;445;0;505;664;0;721;776;
2017-04-13;11:37:18:4171;120;449;0;498;664;0;721;776;
2017-04-13;11:37:18:4171;130;451;0;499;664;0;721;776;
2017-04-13;11:37:18:4331;141;454;0;501;664;0;721;776;
2017-04-13;11:37:18:4501;151;456;0;504;664;0;721;777;
2017-04-13;11:37:18:4501;161;457;0;507;664;0;721;778;
2017-04-13;11:37:18:4668;171;458;0;514;664;0;721;778;
2017-04-13;11:37:18:4668;181;459;0;516;663;0;721;778;
2017-04-13;11:37:18:4829;191;459;0;521;663;0;721;779;
2017-04-13;11:37:18:4996;201;460;0;522;662;0;720;779;
2017-04-13;11:37:18:4996;211;460;0;524;661;0;720;779;
2017-04-13;11:37:18:5162;221;461;0;522;659;0;720;779;
2017-04-13;11:37:18:5162;231;461;0;520;658;0;720;780;
2017-04-13;11:37:18:5325;241;461;0;517;657;0;719;780;
2017-04-13;11:37:18:5495;251;461;0;518;655;0;719;781;
2017-04-13;11:37:18:5495;261;461;0;514;654;0;718;781;
2017-04-13;11:37:18:5656;271;461;0;509;654;0;718;781;
2017-04-13;11:37:18:5661;281;462;0;501;653;0;718;782;
2017-04-13;11:37:18:5826;291;462;0;502;653;0;718;782;
2017-04-13;11:37:18:5991;301;462;0;502;652;0;717;782;
2017-04-13;11:37:18:5991;311;462;0;503;653;0;717;782;
2017-04-13;11:37:18:6157;321;462;0;504;653;0;717;782;
2017-04-13;11:37:18:6157;331;462;0;508;653;0;717;782;
2017-04-13;11:37:18:6324;342;462;0;511;653;0;717;782;
2017-04-13;11:37:18:6324;352;462;0;517;654;0;717;782;
2017-04-13;11:37:18:6489;362;462;0;519;653;0;716;782;
2017-04-13;11:37:18:6651;372;462;0;523;654;0;716;782;
2017-04-13;11:37:18:6651;382;462;0;526;654;0;716;782;
2017-04-13;11:37:18:6820;392;462;0;531;654;0;716;782;
2017-04-13;11:37:18:6985;402;462;0;530;653;0;716;782;
2017-04-13;11:37:18:6985;412;463;0;531;654;0;716;782;
2017-04-13;11:37:18:7151;422;462;0;523;654;0;716;782;
2017-04-13;11:37:18:7151;432;463;0;518;655;0;716;783;
2017-04-13;11:37:18:7315;442;463;0;507;655;0;716;782;
2017-04-13;11:37:18:7482;452;463;0;504;655;0;717;782;
2017-04-13;11:37:18:7482;462;463;0;504;655;0;717;782;
2017-04-13;11:37:18:7646;472;463;0;512;655;0;717;783;
2017-04-13;11:37:18:7646;482;463;0;515;655;0;717;782;
2017-04-13;11:37:18:7812;492;463;0;516;654;0;717;782;
2017-04-13;11:37:18:7983;502;463;0;514;654;0;717;782;
2017-04-13;11:37:18:7983;512;463;0;516;654;0;718;783;
2017-04-13;11:37:18:8141;522;463;0;515;654;0;718;782;
2017-04-13;11:37:18:8310;532;463;0;519;655;0;719;783;
2017-04-13;11:37:18:8310;542;463;0;519;655;0;719;782;
2017-04-13;11:37:18:8474;552;464;0;522;655;0;719;782;
2017-04-13;11:37:18:8474;562;464;0;524;655;0;719;782;
2017-04-13;11:37:18:8638;572;464;0;525;655;0;719;782;
2017-04-13;11:37:18:8806;582;464;0;514;655;0;719;782;
2017-04-13;11:37:18:8806;592;464;0;502;655;0;720;782;
2017-04-13;11:37:18:8971;602;464;0;493;655;0;720;782;
2017-04-13;11:37:18:8971;612;464;0;494;655;0;720;783;
2017-04-13;11:37:18:9138;622;464;0;498;654;0;720;783;
2017-04-13;11:37:18:9304;632;464;0;507;654;0;720;783;
2017-04-13;11:37:18:9304;642;464;0;513;654;0;720;783;
2017-04-13;11:37:18:9468;652;464;0;517;654;0;720;783;
2017-04-13;11:37:18:9468;662;464;0;519;654;0;720;783;
2017-04-13;11:37:18:9635;672;465;0;524;654;0;720;783;
2017-04-13;11:37:18:9799;683;464;0;522;654;0;720;783;
2017-04-13;11:37:18:9799;693;465;0;521;654;0;721;783;
2017-04-13;11:37:18:9969;703;465;0;517;655;0;720;783;
2017-04-13;11:37:18:9969;713;465;0;517;655;0;720;783;
2017-04-13;11:37:19:0132;723;465;0;520;654;0;720;783;
2017-04-13;11:37:19:0296;733;465;0;523;654;0;720;783;
2017-04-13;11:37:19:0296;743;465;0;515;654;0;720;783;
2017-04-13;11:37:19:0462;753;465;0;506;653;0;720;783;
2017-04-13;11:37:19:0462;763;465;0;500;652;0;720;783;
2017-04-13;11:37:19:0627;773;465;0;498;652;0;720;783;
2017-04-13;11:37:19:0794;783;465;0;498;651;0;719;783;
2017-04-13;11:37:19:0794;793;465;0;502;651;0;718;783;
2017-04-13;11:37:19:0960;803;465;0;505;649;0;718;783;
2017-04-13;11:37:19:0960;813;465;0;508;649;0;717;783;
2017-04-13;11:37:19:1128;823;465;0;508;648;0;717;783;
2017-04-13;11:37:19:1305;833;465;0;511;647;0;716;783;
2017-04-13;11:37:19:1305;843;465;0;513;647;0;716;783;
2017-04-13;11:37:19:1455;854;466;0;519;647;0;715;783;
2017-04-13;11:37:19:1624;864;465;0;523;647;0;715;783;
2017-04-13;11:37:19:1624;874;466;0;528;647;0;715;783;
2017-04-13;11:37:19:1790;884;465;0;530;647;0;714;783;
